Corporation,Main,Labels
Randstad Hungary Kft,Devops Engineer (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Karrier Hungária,Manuális Tesztelő (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,IT Infra Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Technical Support Engineer (Budaörs),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő
EasyHiring Services Kft.,Backend fejlesztő (Debrecen),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Cloud DevOps Engineer (Magyarország),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,DevOps Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,DevOps Engineer (Budapest),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Randstad Hungary Kft,Backend C# Developer (Budapest),"3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Trenkwalder Kft.,Senior szoftverfejlesztő mérnök (Veszprém),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,SAP SD Consultant (hybrid/remote) (Budapest),"3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Hays Hungary Kft.,IT Support (Szabolcs-Szatmár-Bereg megye),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Trenkwalder Kft.,C# fejlesztő (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,SAP EWM Application Consultant (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Warranty Data Analyst (Magyarország),pályakezdő /tapasztalat nélkül;1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Data and AI Solution Architect (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Mind-Diák Szövetkezet,Service desk gyakornok (Budapest)Bérezés: bruttó 1 800 Ft / óra,pályakezdő /tapasztalat nélkül;gyakornok;Középfokú végzettség;teljes munkaidő
Randstad Hungary Kft,IT Product Owner (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Cyber Security SME (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Network Operations Team Lead (Budapest),5+ év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Trenkwalder Kft.,Technical Support Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Hays Hungary Kft.,API developer (Budapest),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Karrier Hungária,Service desk agent- Polish speaking (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;Középfokú végzettség;teljes munkaidő;angol - középfokú;lengyel - középfokú
Mind-Diák Szövetkezet,Data Operations Intern (Budapest)Bérezés: bruttó 2 350 Ft / óra,"pályakezdő /tapasztalat nélkül;gyakornok;Középfokú végzettség;teljes munkaidő;részmunkaidő;diákmunka;távmunka, home office"
EasyHiring Services Kft.,Software Engineer (Budapest),3 - 5 év tapasztalat;1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Full Stack Engineer (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Senior Security Admin (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Cloud Software Developer (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
EasyHiring Services Kft.,Hálózatépítő (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;OKJ;teljes munkaidő
Trenkwalder Kft.,Webfejlesztő (Szekszárd),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Junior Data Scientist (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,SW Project quality specialist (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,SAP Solution Architect (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hire-One Személyzeti Tanácsadó Kft.,Global berendezésfejlesztő / SW fejlesztő mérnök (Veszprém),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,SAP IBP Consultant (Budapest),"3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,Java (Spring) Fejlesztő (Pest megye),"3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,Information Security Program Analyst (Magyarország),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,IT Process Specialist (Nyíregyháza),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - alapfokú;angol - középfokú
EasyHiring Services Kft.,SAP BW/4HANA supporter (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Trenkwalder Kft.,Backend fejlesztő (Pécs),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő
Hays Hungary Kft.,Development Project Manager (Rolls-Royce) (Budapest),1 - 2 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Beágyazott SW fejlesztőmérnök (ipari hálózati eszközök) (Veszprém),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Junior Java Fejlesztő (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Trenkwalder Kft.,Senior MES Process Coordinator (Budapest),"5+ év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Hays Hungary Kft.,Java Software Developer (Budapest),"5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Trenkwalder Kft.,IT Rendszergazda (Kecskemét),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,IT project koordinator (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
EasyHiring Services Kft.,SAP Master Data Application Consultant (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Hays Hungary Kft.,Reporting Expert - SAP Analytics Cloud / BW (Budapest),3 - 5 év tapasztalat;5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,engineering team leader (Érd),"5+ év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Hays Hungary Kft.,German Service Desk Representative (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Trenkwalder Kft.,Informatikus/IT Officer (Polgárdi),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő
Hays Hungary Kft.,Frontend Developer (Magyarország),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;angol - felsőfokú
EasyHiring Services Kft.,Server and Network Management team leader (Budapest),5+ év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Network Security Engineer (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Webfejlesztő (PHP) (Debrecen),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Karrier Hungária,French speaking service desk agent (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;francia - középfokú
Hays Hungary Kft.,Oracle Integration Cloud Specialist (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Technikai Rendszermérnök (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
EasyHiring Services Kft.,Agile Team Coach (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Information Security Program Analyst (Magyarország),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Oracle Backend Software Engineer (Budapest),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Hays Hungary Kft.,Team Support Assistant (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Maintenance Support Associate (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Beágyazott Szoftverfejlesztő Mérnök (Budapest),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Hays Hungary Kft.,Scrum Master (Budapest),"3 - 5 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Hays Hungary Kft.,"Java, Angular Developer (Budapest)",3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
EasyHiring Services Kft.,Software Test Engineer (Budapest),3 - 5 év tapasztalat;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Senior IT Business Analyst (Budapest),"5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,Cloud Data Engineer (Magyarország),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Operator 7X24 (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Application Support Engineer (Magyarország),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,IT Procurement Manager (Italian speaking) (Budapest),5+ év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;olasz - középfokú
Hays Hungary Kft.,System Engineer (Magyarország),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Hays Hungary Kft.,Project Manager for e-Learning Development (Vecsés),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Reporting Expert - Azure environment (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Senior QA Tester (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Data Engineer (Budapest),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,"AWS Engineer (DevOps, SRE) (Budapest)","1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;távmunka, home office"
Randstad Hungary Kft,Development Test Engineer (Magyarország),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,SAP Test Automation Engineer (Budapest),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,Team lead - Logistics (Budapest),5+ év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Trenkwalder Kft.,Kaizen (MES/IT) Munkatárs (Kecskemét),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Medior full stack developer (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Junior Application Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Italian/French Speaking Service Desk Analyst (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;francia - középfokú;olasz - középfokú
Trenkwalder Kft.,Adattisztító - 3 hónapos fix időre (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;projektmunka;angol - középfokú
EasyHiring Services Kft.,Devops Engineer (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,SAP Consultant (Kistelek),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;Középfokú végzettség;teljes munkaidő;távmunka, home office"
EasyHiring Services Kft.,German speaking 1st level helpdesk analyst (Budapest),pályakezdő /tapasztalat nélkül;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Randstad Hungary Kft,DevOps Engineer IoT Cloud (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;5+ év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő
EasyHiring Services Kft.,Senior Java Developer (Spring Boot) (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Frontend Developer (React) (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Hays Hungary Kft.,Software Quality Engineer (ASPICE) (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Embedded SW Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Access Manager Specialist (Senior) (Budapest),"3 - 5 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Hays Hungary Kft.,API Developer (Magyarország),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
EasyHiring Services Kft.,Senior Software Engineer (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,IT Production Launch Manager (Budapest),3 - 5 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Trenkwalder Kft.,Frontend fejlesztő (Pécs),3 - 5 év tapasztalat;1 - 2 év tapasztalat;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Karrier Hungária,BI Manager (Budapest),3 - 5 év tapasztalat;5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,SAP Ariba Expert (Budapest),"3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,Vezető tesztmérnök (Tiszaújváros),1 - 2 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,MLOps Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,C++ Developer (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Reporting Specialist (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - alapfokú;német - középfokú
Hays Hungary Kft.,Java Software Engineer (Budapest),"3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,Linux rendszermérnök (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő
EasyHiring Services Kft.,C++ Developer (Magyarország),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,French Speaking Team Leader (Budapest),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
EasyHiring Services Kft.,Senior JAVA Developer (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő
EasyHiring Services Kft.,Senior DevOps Engineer (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Pályakezdő pozíciók nemzetközi környezetben (német+angol nyelvtudással) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;francia - felsőfokú;angol - középfokú
Hays Hungary Kft.,Security Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Linux System Administrator (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;Középfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Software Architect (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Senior Data Engineer (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,System Test Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,IT Business Analyst (Kecskemét),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,SAP ABAP Developer - Specialist (Budapest),"3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Randstad Hungary Kft,Intermediate License Management Analyst (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Cloud Engineer (Azure) (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,SAP SD Consultant (remote/hybrid) (Budapest),"3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Karrier Hungária,Rendszerszervező (Budapest),"3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office"
EasyHiring Services Kft.,Oracle Backend Software Engineer (Budapest),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,Medior/Senior .NET Developer (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Client Service Manager (Diósd),3 - 5 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Cloud Software Developer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
EasyHiring Services Kft.,Junior Reporting Specialist (Budapest),"pályakezdő /tapasztalat nélkül;1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Hays Hungary Kft.,UX Designer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Junior programozó (Debrecen),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Warranty Data Analyst (Magyarország),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Randstad Hungary Kft,Sustainability Specialist - LCA Expert (Budapest),5+ év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Trenkwalder Kft.,IT szakember (Pécs),5+ év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő
EasyHiring Services Kft.,Frontend Engineer (Budapest),"5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,Senior IT Sales Consultant (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Randstad Hungary Kft,Project Manager - Project Data Structure & Processes (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Szerver és hálózat rendszeradminisztrátor - Server and Network administrator (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Java Developer (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Access Manager Specialist (Senior) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Senior DevOps Engineer (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,IT project koordinator (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő
EasyHiring Services Kft.,Embedded software developer (medior) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Randstad Hungary Kft,Senior Full Stack .NET Developer (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Junior PHP Developer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Hire-One Személyzeti Tanácsadó Kft.,IT security specialist (Veszprém),"3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Hays Hungary Kft.,Software Engineer Front-end (Magyarország),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Junior .NET developer (Budapest),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
EasyHiring Services Kft.,Java_JavaScript Developer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,C# Developer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Hays Hungary Kft.,Senior Cloud/Big Data Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Identity & Access Management Specialist (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
EasyHiring Services Kft.,Test Lead (Budapest),5+ év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,IT Asset Manager Specialist (SW) (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,C++ Developer (Magyarország),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő
EasyHiring Services Kft.,Network & Security Engineer (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
EasyHiring Services Kft.,Intermediate License Management Analyst (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
EasyHiring Services Kft.,Data Analyst Expert (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
EasyHiring Services Kft.,IT Business Analyst (Kecskemét),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú;német - felsőfokú
EasyHiring Services Kft.,Junior C# Fejlesztő (Magyarország),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Hays Hungary Kft.,Junior SAP VIM specialist - German speaking (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Hays Hungary Kft.,Fullstack Developer (Budapest),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Hays Hungary Kft.,Python Developer (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Karrier Hungária,Sales AND IT business analyst (Magyarország),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Randstad Hungary Kft,Network Security Engineer (Budapest),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Randstad Hungary Kft,Cloud Platform Engineer (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
