Main,Location,Corporation,Href
IT System Engineer (m/f/d) - Digital Platform Solutions,"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""fcf4e8e2-c03f-4604-8d35-a7bedfe405f3"")>",Vitesco Technologies Group AG,https://www.stepstone.de/jobs--IT-System-Engineer-m-f-d-Digital-Platform-Solutions-Regensburg-Nuremberg-Schwalbach-Vitesco-Technologies-Group-AG--9354525-inline.html
Junior IT Specialist - Digitalization and Innovation (f/m/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""10c8de5b-c7a4-4410-98c1-eb949ad1a8c5"")>",Freudenberg Home and Cleaning Solutions GmbH,https://www.stepstone.de/jobs--Junior-IT-Specialist-Digitalization-and-Innovation-f-m-d-Weinheim-Freudenberg-Home-and-Cleaning-Solutions-GmbH--9297143-inline.html
Junior IT Specialist (m/f/d) Global IT Infrastructure,"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""d39fcd3a-9b9e-4670-b286-b41a499f96dd"")>",Kühne + Nagel (AG & Co.) KG,https://www.stepstone.de/jobs--Junior-IT-Specialist-m-f-d-Global-IT-Infrastructure-Hamburg-Kuhne-Nagel-AG-Co-KG--9286256-inline.html
IT Systems Engineer (d/f/m),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""d1c436b2-f8ec-4f9c-b7dc-737a407281ae"")>",Airbus Group,https://www.stepstone.de/jobs--IT-Systems-Engineer-d-f-m-Manching-bei-Munchen-Airbus-Group--9343706-inline.html
IT Infrastructure Manager (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""3786e745-17cc-48a1-bd36-5d536d403b43"")>",Corden Pharma International GmbH,https://www.stepstone.de/jobs--IT-Infrastructure-Manager-m-f-d-Plankstadt-Basel-Corden-Pharma-International-GmbH--9225252-inline.html
Administrator IT Network (m/w/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""d8e087d5-df44-4ab8-9036-5eb8f7cb0262"")>",PUMA SE,https://www.stepstone.de/jobs--Administrator-IT-Network-m-w-d-Herzogenaurach-PUMA-SE--9335799-inline.html
IT System Administrator (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""6ebfdad0-40a2-4308-a3cf-357d381fac13"")>",biomedion GmbH,https://www.stepstone.de/jobs--IT-System-Administrator-m-f-d-Berlin-biomedion-GmbH--9237799-inline.html
IT Service Manager (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""358e5d54-525a-4069-92dc-1cc46589865b"")>",TSCNET Services GmbH,https://www.stepstone.de/jobs--IT-Service-Manager-m-f-d-Munchen-TSCNET-Services-GmbH--9275108-inline.html
"IT Security Professional - Governance, Risk & Compliance (f/m/d) - onsite or remote / home office","<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""657b7322-96a5-4398-aa5d-bd1e8ec99425"")>",1&1 Mail & Media,https://www.stepstone.de/jobs--IT-Security-Professional-Governance-Risk-Compliance-f-m-d-onsite-or-remote-home-office-Karlsruhe-Munchen-Nationwide-Germany-Work-from-home-11-Mail-Media--9097668-inline.html
Main,Location,Corporation,Href
IT System Engineer (m/f/d) - Digital Platform Solutions,"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""fcf4e8e2-c03f-4604-8d35-a7bedfe405f3"")>",Vitesco Technologies Group AG,https://www.stepstone.de/jobs--IT-System-Engineer-m-f-d-Digital-Platform-Solutions-Regensburg-Nuremberg-Schwalbach-Vitesco-Technologies-Group-AG--9354525-inline.html
Junior IT Specialist - Digitalization and Innovation (f/m/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""10c8de5b-c7a4-4410-98c1-eb949ad1a8c5"")>",Freudenberg Home and Cleaning Solutions GmbH,https://www.stepstone.de/jobs--Junior-IT-Specialist-Digitalization-and-Innovation-f-m-d-Weinheim-Freudenberg-Home-and-Cleaning-Solutions-GmbH--9297143-inline.html
Junior IT Specialist (m/f/d) Global IT Infrastructure,"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""d39fcd3a-9b9e-4670-b286-b41a499f96dd"")>",Kühne + Nagel (AG & Co.) KG,https://www.stepstone.de/jobs--Junior-IT-Specialist-m-f-d-Global-IT-Infrastructure-Hamburg-Kuhne-Nagel-AG-Co-KG--9286256-inline.html
IT Systems Engineer (d/f/m),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""d1c436b2-f8ec-4f9c-b7dc-737a407281ae"")>",Airbus Group,https://www.stepstone.de/jobs--IT-Systems-Engineer-d-f-m-Manching-bei-Munchen-Airbus-Group--9343706-inline.html
IT Infrastructure Manager (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""3786e745-17cc-48a1-bd36-5d536d403b43"")>",Corden Pharma International GmbH,https://www.stepstone.de/jobs--IT-Infrastructure-Manager-m-f-d-Plankstadt-Basel-Corden-Pharma-International-GmbH--9225252-inline.html
Administrator IT Network (m/w/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""d8e087d5-df44-4ab8-9036-5eb8f7cb0262"")>",PUMA SE,https://www.stepstone.de/jobs--Administrator-IT-Network-m-w-d-Herzogenaurach-PUMA-SE--9335799-inline.html
IT System Administrator (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""6ebfdad0-40a2-4308-a3cf-357d381fac13"")>",biomedion GmbH,https://www.stepstone.de/jobs--IT-System-Administrator-m-f-d-Berlin-biomedion-GmbH--9237799-inline.html
IT Service Manager (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""358e5d54-525a-4069-92dc-1cc46589865b"")>",TSCNET Services GmbH,https://www.stepstone.de/jobs--IT-Service-Manager-m-f-d-Munchen-TSCNET-Services-GmbH--9275108-inline.html
"IT Security Professional - Governance, Risk & Compliance (f/m/d) - onsite or remote / home office","<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""657b7322-96a5-4398-aa5d-bd1e8ec99425"")>",1&1 Mail & Media,https://www.stepstone.de/jobs--IT-Security-Professional-Governance-Risk-Compliance-f-m-d-onsite-or-remote-home-office-Karlsruhe-Munchen-Nationwide-Germany-Work-from-home-11-Mail-Media--9097668-inline.html
Environment Manager & IT Expert Cloud Infrastructure (f/m/x),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""88910213-fa99-4ac5-8b7d-c5d241c770ca"")>",Mercedes-Benz Mobility AG,https://www.stepstone.de/jobs--Environment-Manager-IT-Expert-Cloud-Infrastructure-f-m-x-Stuttgart-Mercedes-Benz-Mobility-AG--9048356-inline.html
Main,Location,Corporation,Href
IT System Engineer (m/f/d) - Digital Platform Solutions,"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""fcf4e8e2-c03f-4604-8d35-a7bedfe405f3"")>",Vitesco Technologies Group AG,https://www.stepstone.de/jobs--IT-System-Engineer-m-f-d-Digital-Platform-Solutions-Regensburg-Nuremberg-Schwalbach-Vitesco-Technologies-Group-AG--9354525-inline.html
Junior IT Specialist - Digitalization and Innovation (f/m/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""10c8de5b-c7a4-4410-98c1-eb949ad1a8c5"")>",Freudenberg Home and Cleaning Solutions GmbH,https://www.stepstone.de/jobs--Junior-IT-Specialist-Digitalization-and-Innovation-f-m-d-Weinheim-Freudenberg-Home-and-Cleaning-Solutions-GmbH--9297143-inline.html
Junior IT Specialist (m/f/d) Global IT Infrastructure,"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""d39fcd3a-9b9e-4670-b286-b41a499f96dd"")>",Kühne + Nagel (AG & Co.) KG,https://www.stepstone.de/jobs--Junior-IT-Specialist-m-f-d-Global-IT-Infrastructure-Hamburg-Kuhne-Nagel-AG-Co-KG--9286256-inline.html
IT Systems Engineer (d/f/m),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""d1c436b2-f8ec-4f9c-b7dc-737a407281ae"")>",Airbus Group,https://www.stepstone.de/jobs--IT-Systems-Engineer-d-f-m-Manching-bei-Munchen-Airbus-Group--9343706-inline.html
IT Infrastructure Manager (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""3786e745-17cc-48a1-bd36-5d536d403b43"")>",Corden Pharma International GmbH,https://www.stepstone.de/jobs--IT-Infrastructure-Manager-m-f-d-Plankstadt-Basel-Corden-Pharma-International-GmbH--9225252-inline.html
Administrator IT Network (m/w/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""d8e087d5-df44-4ab8-9036-5eb8f7cb0262"")>",PUMA SE,https://www.stepstone.de/jobs--Administrator-IT-Network-m-w-d-Herzogenaurach-PUMA-SE--9335799-inline.html
IT System Administrator (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""6ebfdad0-40a2-4308-a3cf-357d381fac13"")>",biomedion GmbH,https://www.stepstone.de/jobs--IT-System-Administrator-m-f-d-Berlin-biomedion-GmbH--9237799-inline.html
IT Service Manager (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""1c5cbe51-f212-4922-b536-66e7540fb4cb"", element=""358e5d54-525a-4069-92dc-1cc46589865b"")>",TSCNET Services GmbH,https://www.stepstone.de/jobs--IT-Service-Manager-m-f-d-Munchen-TSCNET-Services-GmbH--9275108-inline.html
